stop_id,stop_code,stop_name,stop_desc,wheelchair_boarding,stop_lat,stop_lon
127,127,THEKLA @ EMERSON SB,NEAR SIDE THEKLA @ EMERSON SB,2,38.694865,-90.245546
166,166,WEST FLORISSANT @ BUZZ WESTFALL SB,NEAR SIDE WEST FLORISSANT @ BUZZ WESTFALL SB,1,38.726875,-90.276549
172,172,SKINKER @ FOREST PARK PARKWAY SB,NEAR SIDE SKINKER @ FOREST PARK PARKWAY SB,1,38.649624,-90.300736
249,249,CIVIC CENTER TRANSIT CENTER,,1,38.625451,-90.202342
273,273,STLCC FLORISSANT VALLEY,FAR SIDE STLCC FLORISSANT VALLEY,1,38.770786,-90.288557
314,314,175 BOULDER INDUSTRIAL,MID-BLOCK 175 BOULDER INDUSTRIAL,1,38.778046,-90.447131
315,315,DEPAUL @ DEPAUL HOSPITAL SB,NEAR SIDE DEPAUL @ DEPAUL HOSPITAL SB,1,38.750125,-90.43082
353,353,ATHLETIC WAY @ RIDER TRAIL SOUTH EB,FAR SIDE ATHLETIC WAY @ RIDER TRAIL SOUTH EB,2,38.76301,-90.453785
393,393,CATALAN TRANSIT CENTER,,1,38.540064,-90.265961
394,394,BROADWAY @ GASCONADE NB,NEAR SIDE BROADWAY @ GASCONADE NB,2,38.57998,-90.228968
412,412,CATALAN TRANSIT CENTER,,1,38.540046,-90.265932
414,414,TELEGRAPH @ KINGSTON SB,FAR SIDE TELEGRAPH @ KINGSTON SB,2,38.511486,-90.291397
460,460,LINDBERGH @ ST. FERDINAND WB,MID-BLOCK LINDBERGH @ ST. FERDINAND WB,1,38.799529,-90.329366
523,523,GRAND @ CHOUTEAU SB,NEAR SIDE GRAND @ CHOUTEAU SB,1,38.626269,-90.236717
673,673,LUCAS-HUNT @ NATURAL BRIDGE NB,FAR SIDE LUCAS-HUNT @ NATURAL BRIDGE NB,1,38.701854,-90.292245
714,714,VIRGINIA @ BATES NB,FAR SIDE VIRGINIA @ BATES NB,1,38.563926,-90.246369
