trip_id,route_id,service_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
3078342,16505B,255-T1,BLUE LINE TO FOREST PARK,0,67112,103687,1
3078343,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67108,103678,1
3078344,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67106,103685,1
3078345,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67109,103685,1
3078346,16505B,255-T1,BLUE LINE TO FOREST PARK,0,67117,103687,1
3078347,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67106,103685,1
3078348,16505B,255-T1,BLUE LINE TO FOREST PARK,0,67117,103687,1
3078349,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67115,103685,1
3078350,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67108,103678,1
3078351,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67103,103678,1
3078352,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67106,103685,1
3078353,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67116,103678,1
3078354,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67102,103685,1
3078355,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67114,103678,1
3078356,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67101,103685,1
3078357,16505B,255-T1,BLUE LINE TO FOREST PARK,0,67114,103687,1
3078358,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67110,103685,1
3078359,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67111,103678,1
3078360,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67113,103685,1
3078361,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67105,103678,1
3078362,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67101,103685,1
3078363,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67113,103685,1
3078364,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67109,103683,1
3078365,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67110,103685,1
3078366,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67116,103678,1
3078367,16505R,255-T1,RED LINE TO SHILOH SCOTT,0,67107,103685,1
3078368,16505B,255-T1,BLUE LINE TO FAIRVIEW HEIGHTS,0,67114,103678,1
